rule_id,rd_group_concept_id,source_group_name,redistribution_method,target_concept_id,target_codigo,target_name,target_burden_class,target_yll_flag,target_yld_flag,abds_target_scope_excluded,redistribution_target_eligible_default,recommended_action,replacement_pool_note
1,9011631,Todas las otras casas intermedias e inmediatas no específicas,Asignación proporcional,9000080,80,Tricomoniasis,yld_only,0,1,0,0,exclude_from_yll_targets,Redistribuir a infecciosas fatales hermanas del mismo bloque.
1,9011631,Todas las otras casas intermedias e inmediatas no específicas,Asignación proporcional,9000085,85,Herpes genital,yld_only,0,1,0,0,exclude_from_yll_targets,Redistribuir a infecciosas fatales hermanas del mismo bloque.
1,9011631,Todas las otras casas intermedias e inmediatas no específicas,Asignación proporcional,9000270,270,Filariasis linfática,yld_only,0,1,0,0,exclude_from_yll_targets,Redistribuir a infecciosas fatales hermanas del mismo bloque.
1,9011631,Todas las otras casas intermedias e inmediatas no específicas,Asignación proporcional,9000280,280,Oncocercosis,yld_only,0,1,0,0,exclude_from_yll_targets,Redistribuir a infecciosas fatales hermanas del mismo bloque.
1,9011631,Todas las otras casas intermedias e inmediatas no específicas,Asignación proporcional,9000310,310,Tracoma,yld_only,0,1,0,0,exclude_from_yll_targets,Redistribuir a infecciosas fatales hermanas del mismo bloque.
1,9011631,Todas las otras casas intermedias e inmediatas no específicas,Asignación proporcional,9000350,350,Trichuriasis,yld_only,0,1,0,0,exclude_from_yll_targets,Redistribuir a infecciosas fatales hermanas del mismo bloque.
1,9011631,Todas las otras casas intermedias e inmediatas no específicas,Asignación proporcional,9000360,360,Enfermedad por anquilostoma,yld_only,0,1,0,0,exclude_from_yll_targets,Redistribuir a infecciosas fatales hermanas del mismo bloque.
1,9011631,Todas las otras casas intermedias e inmediatas no específicas,Asignación proporcional,9000362,362,Trematodos transmitidos por alimentos,yld_only,0,1,0,0,exclude_from_yll_targets,Redistribuir a infecciosas fatales hermanas del mismo bloque.
1,9011631,Todas las otras casas intermedias e inmediatas no específicas,Asignación proporcional,9000365,365,Lepra,yld_only,0,1,0,0,exclude_from_yll_targets,Redistribuir a infecciosas fatales hermanas del mismo bloque.
1,9011631,Todas las otras casas intermedias e inmediatas no específicas,Asignación proporcional,9000420,420,Condiciones maternas,both,1,1,1,0,exclude_from_yll_targets,
1,9011631,Todas las otras casas intermedias e inmediatas no específicas,Asignación proporcional,9000560,560,Deficiencia de yodo,yld_only,0,1,0,0,exclude_from_yll_targets,Redistribuir dentro de nutricionales fatales plausibles o infecciosas relacionadas.
1,9011631,Todas las otras casas intermedias e inmediatas no específicas,Asignación proporcional,9000570,570,Deficiencia de vitamina A,yld_only,0,1,0,0,exclude_from_yll_targets,Redistribuir dentro de nutricionales fatales plausibles o infecciosas relacionadas.
1,9011631,Todas las otras casas intermedias e inmediatas no específicas,Asignación proporcional,9000580,580,Deficiencia de hierro en la dieta,yld_only,0,1,0,0,exclude_from_yll_targets,Redistribuir dentro de nutricionales fatales plausibles o infecciosas relacionadas.
1,9011631,Todas las otras casas intermedias e inmediatas no específicas,Asignación proporcional,9000692,692,Cáncer de piel no melanoma,yld_only,0,1,0,0,exclude_from_yll_targets,Redistribución proporcional restringida dentro del bloque fatal plausible.
1,9011631,Todas las otras casas intermedias e inmediatas no específicas,Asignación proporcional,9000830,830,Trastornos depresivos,yld_only,0,1,0,0,exclude_from_yll_targets,"Redistribuir a trastornos por sustancias/alcohol, lesiones intencionales u otras NCD fatales plausibles según garbage."
1,9011631,Todas las otras casas intermedias e inmediatas no específicas,Asignación proporcional,9000831,831,Trastorno depresivo mayor,yld_only,0,1,0,0,exclude_from_yll_targets,"Redistribuir a trastornos por sustancias/alcohol, lesiones intencionales u otras NCD fatales plausibles según garbage."
1,9011631,Todas las otras casas intermedias e inmediatas no específicas,Asignación proporcional,9000832,832,Distimia,yld_only,0,1,0,0,exclude_from_yll_targets,"Redistribuir a trastornos por sustancias/alcohol, lesiones intencionales u otras NCD fatales plausibles según garbage."
1,9011631,Todas las otras casas intermedias e inmediatas no específicas,Asignación proporcional,9000840,840,Trastorno bipolar,yld_only,0,1,0,0,exclude_from_yll_targets,"Redistribuir a trastornos por sustancias/alcohol, lesiones intencionales u otras NCD fatales plausibles según garbage."
1,9011631,Todas las otras casas intermedias e inmediatas no específicas,Asignación proporcional,9000850,850,Esquizofrenia,yld_only,0,1,0,0,exclude_from_yll_targets,"Redistribuir a trastornos por sustancias/alcohol, lesiones intencionales u otras NCD fatales plausibles según garbage."
1,9011631,Todas las otras casas intermedias e inmediatas no específicas,Asignación proporcional,9000874,874,Trastornos por consumo de cannabis,yld_only,0,1,0,0,exclude_from_yll_targets,"Redistribuir a trastornos por sustancias/alcohol, lesiones intencionales u otras NCD fatales plausibles según garbage."
1,9011631,Todas las otras casas intermedias e inmediatas no específicas,Asignación proporcional,9000880,880,Trastornos de ansiedad,yld_only,0,1,0,0,exclude_from_yll_targets,"Redistribuir a trastornos por sustancias/alcohol, lesiones intencionales u otras NCD fatales plausibles según garbage."
1,9011631,Todas las otras casas intermedias e inmediatas no específicas,Asignación proporcional,9000900,900,Síndrome de autismo y Asperger,yld_only,0,1,0,0,exclude_from_yll_targets,"Redistribuir a trastornos por sustancias/alcohol, lesiones intencionales u otras NCD fatales plausibles según garbage."
1,9011631,Todas las otras casas intermedias e inmediatas no específicas,Asignación proporcional,9000910,910,Trastornos del comportamiento infantil,yld_only,0,1,0,0,exclude_from_yll_targets,"Redistribuir a trastornos por sustancias/alcohol, lesiones intencionales u otras NCD fatales plausibles según garbage."
